O/F,FlameTemp_K,ExhaustMW_gmol,Gamma,cstar_m_s,Isp_vac_e40_eq_s,Isp_vac_e40_fr_s,Isp_vac_e200_eq_s,Isp_vac_e200_fr_s,,T_eq,T_fr,R
4.5,3100,10.2,1.24,1950,403,399,427,423,,,,
5,3300,11,1.23,2030,416,412,440,435,,,,
5.3,3370,11.3,1.22,2050,421,417,442,438,,,,
5.5,3450,11.6,1.22,2070,424,420,445,441,,,,
5.7,3500,11.8,1.21,2090,426,422,447,443,,,,
5.8,3530,12,1.21,2100,427,423,448,444,,,,
5.9,3550,12.2,1.21,2110,428,424,449,445,,3550,3500,682J/kg.K
6,3570,12.4,1.2,2120,429,425,450,446,,,,
6.2,3630,12.8,1.2,2125,428,424,449,445,,,,
6.5,3700,13.5,1.19,2110,425,421,446,442,,,,
7,3800,14.5,1.18,2090,420,416,441,437,,,,
